,eid,EPS
833,2-s2.0-85129224029,0
834,2-s2.0-79953068083,1
835,2-s2.0-0346965430,0
836,2-s2.0-85051987476,0
837,2-s2.0-85038100664,0
838,2-s2.0-85049574334,0
839,2-s2.0-85126086801,0
840,2-s2.0-84964339382,0
841,2-s2.0-74549118932,1
842,2-s2.0-84992491192,0
843,2-s2.0-84961960531,0
844,2-s2.0-84862170625,0
845,2-s2.0-57049155415,0
846,2-s2.0-34548282201,0
847,2-s2.0-84871993250,0
848,2-s2.0-84964689580,0
849,2-s2.0-79952897520,0
850,2-s2.0-85138027701,0
851,2-s2.0-84899863199,0
852,2-s2.0-0036230020,0
853,2-s2.0-85019630141,1
854,2-s2.0-33845687682,0
855,2-s2.0-84870023811,0
856,2-s2.0-0031399023,0
857,2-s2.0-80051976316,0
858,2-s2.0-0036326488,0
859,2-s2.0-84901504678,0
860,2-s2.0-85134882538,0
861,2-s2.0-85062706426,0
862,2-s2.0-85015090743,1
863,2-s2.0-84903773900,0
864,2-s2.0-80052892660,1
865,2-s2.0-85128292230,0
866,2-s2.0-84878680174,0
867,2-s2.0-85128483819,0
868,2-s2.0-84961626569,1
869,2-s2.0-85127594651,0
870,2-s2.0-85006827379,1
871,2-s2.0-84877017633,1
